Date,Open,High,Low,Close,Volume
2025-01-21 14:30:00+00:00,600.830078125,601.1300048828125,600.3800048828125,600.6699829101562,2382052
2025-01-21 14:35:00+00:00,600.114990234375,601.0900268554688,600.0399780273438,600.8499755859375,685425
2025-01-21 14:40:00+00:00,600.1799926757812,600.4199829101562,599.6400146484375,600.1599731445312,668936
2025-01-21 14:45:00+00:00,600.8502807617188,601.469970703125,600.1400146484375,600.1699829101562,629797
2025-01-21 14:50:00+00:00,599.6900024414062,601.27001953125,599.530029296875,600.9000244140625,634301
2025-01-21 14:55:00+00:00,600.52001953125,600.6300048828125,599.6900024414062,599.6900024414062,364026
2025-01-21 15:00:00+00:00,599.9099731445312,600.5490112304688,599.75,600.547607421875,326603
2025-01-21 15:05:00+00:00,600.2150268554688,600.5499877929688,599.5999755859375,599.8900146484375,412221
2025-01-21 15:10:00+00:00,598.9299926757812,600.3305053710938,598.6699829101562,600.219970703125,721279
2025-01-21 15:15:00+00:00,599.9100952148438,599.989990234375,598.760009765625,598.9600219726562,439901
2025-01-21 15:20:00+00:00,599.5599975585938,600.2050170898438,599.469970703125,599.9000244140625,445520
2025-01-21 15:25:00+00:00,600.35498046875,600.4005737304688,599.6500244140625,599.6500244140625,293256
2025-01-21 15:30:00+00:00,599.97998046875,600.5,599.9000244140625,600.3300170898438,302042
2025-01-21 15:35:00+00:00,600.1900024414062,600.2899780273438,599.7100219726562,599.9600219726562,249472
2025-01-21 15:40:00+00:00,600.3800048828125,600.6199951171875,600.1500244140625,600.1900024414062,300750
2025-01-21 15:45:00+00:00,599.9749755859375,600.4749755859375,599.6799926757812,600.3699951171875,520356
2025-01-21 15:50:00+00:00,600.1400146484375,600.2000122070312,599.4299926757812,599.97998046875,267873
2025-01-21 15:55:00+00:00,600.3701171875,600.5700073242188,599.8699951171875,600.1199951171875,193439
2025-01-21 16:00:00+00:00,600.1900024414062,600.3599853515625,599.8300170898438,600.3599853515625,192984
2025-01-21 16:05:00+00:00,600.72998046875,600.8599853515625,600.1900024414062,600.1900024414062,245219
2025-01-21 16:10:00+00:00,600.8200073242188,600.8400268554688,600.4500122070312,600.7100219726562,238691
2025-01-21 16:15:00+00:00,600.728271484375,600.8499755859375,600.530029296875,600.8150024414062,276508
2025-01-21 16:20:00+00:00,600.719970703125,600.9400024414062,600.6199951171875,600.7271728515625,197960
2025-01-21 16:25:00+00:00,600.780029296875,600.864990234375,600.5700073242188,600.739990234375,169118
2025-01-21 16:30:00+00:00,600.8798828125,601.05908203125,600.7100219726562,600.77001953125,199714
2025-01-21 16:35:00+00:00,600.4500122070312,601.0399780273438,600.4099731445312,601.0050048828125,212042
2025-01-21 16:40:00+00:00,600.3150024414062,600.8099975585938,600.260009765625,600.4650268554688,587212
2025-01-21 16:45:00+00:00,600.7899780273438,600.8400268554688,600.3150024414062,600.3300170898438,168051
